kpi_name,full_date,value,value_type,year,week_number,mine_name,department_name,reporting_date_id,department_id,mine_id
Total Volume Mined,2024-08-26,55501.000000,DailyActual,2024,35,Kibali,Open Cast,20240826,5,4
Total Volume Mined,2024-08-27,55555.000000,DailyActual,2024,35,Kibali,Open Cast,20240827,5,4
Total Volume Mined,2024-08-28,43875.000000,DailyActual,2024,35,Kibali,Open Cast,20240828,5,4
Total Volume Mined,2024-08-29,49632.000000,DailyActual,2024,35,Kibali,Open Cast,20240829,5,4
Total Volume Mined,2024-08-30,53124.000000,DailyActual,2024,35,Kibali,Open Cast,20240830,5,4
Total Volume Mined,2024-08-31,54129.000000,DailyActual,2024,35,Kibali,Open Cast,20240831,5,4
Total Volume Mined,2024-09-01,57481.000000,DailyActual,2024,35,Kibali,Open Cast,20240901,5,4
Total Volume Mined,2024-08-26,46437.000000,DailyForecast,2024,35,Kibali,Open Cast,20240826,5,4
Total Volume Mined,2024-08-27,45295.000000,DailyForecast,2024,35,Kibali,Open Cast,20240827,5,4
Total Volume Mined,2024-08-28,42895.000000,DailyForecast,2024,35,Kibali,Open Cast,20240828,5,4
Total Volume Mined,2024-08-29,46855.000000,DailyForecast,2024,35,Kibali,Open Cast,20240829,5,4
Total Volume Mined,2024-08-30,42500.000000,DailyForecast,2024,35,Kibali,Open Cast,20240830,5,4
Total Volume Mined,2024-08-31,44395.000000,DailyForecast,2024,35,Kibali,Open Cast,20240831,5,4
Total Volume Mined,2024-09-01,48296.000000,DailyForecast,2024,35,Kibali,Open Cast,20240901,5,4
OP - Ore Tonnes Mined,2024-08-26,2102.000000,DailyActual,2024,35,Kibali,Open Cast,20240826,5,4
OP - Ore Tonnes Mined,2024-08-27,2834.000000,DailyActual,2024,35,Kibali,Open Cast,20240827,5,4
OP - Ore Tonnes Mined,2024-08-28,5051.000000,DailyActual,2024,35,Kibali,Open Cast,20240828,5,4
OP - Ore Tonnes Mined,2024-08-29,13675.000000,DailyActual,2024,35,Kibali,Open Cast,20240829,5,4
OP - Ore Tonnes Mined,2024-08-30,10554.000000,DailyActual,2024,35,Kibali,Open Cast,20240830,5,4
OP - Ore Tonnes Mined,2024-08-31,2425.000000,DailyActual,2024,35,Kibali,Open Cast,20240831,5,4
OP - Ore Tonnes Mined,2024-09-01,15084.000000,DailyActual,2024,35,Kibali,Open Cast,20240901,5,4
OP - Ore Tonnes Mined,2024-08-26,0.000000,DailyForecast,2024,35,Kibali,Open Cast,20240826,5,4
OP - Ore Tonnes Mined,2024-08-27,692.000000,DailyForecast,2024,35,Kibali,Open Cast,20240827,5,4
OP - Ore Tonnes Mined,2024-08-28,5502.000000,DailyForecast,2024,35,Kibali,Open Cast,20240828,5,4
OP - Ore Tonnes Mined,2024-08-29,5987.000000,DailyForecast,2024,35,Kibali,Open Cast,20240829,5,4
OP - Ore Tonnes Mined,2024-08-30,8159.000000,DailyForecast,2024,35,Kibali,Open Cast,20240830,5,4
